"game_id","season","season_type","week","game_key","game_date","game_time_eastern","game_time_local","home_team_id","visitor_team_id","home_team_abbr","visitor_team_abbr","home_display_name","visitor_display_name","home_nickname","visitor_nickname","site_id","site_city","site_full_name","site_state","site_roof_type","network_channel","score_time","phase","phase_description","visitor_score_point_total","visitor_score_point_q1","visitor_score_point_q2","visitor_score_point_q3","visitor_score_point_q4","visitor_score_point_ot","visitor_timeouts_remaining","home_score_point_total","home_score_point_q1","home_score_point_q2","home_score_point_q3","home_score_point_q4","home_score_point_ot","home_timeouts_remaining","validated","spread_line","total_line"
2023122500,2023,"REG",16,59410,"12/25/2023","13:00:00",NULL,"2310","2520","KC","LV","Kansas City Chiefs","Las Vegas Raiders","Chiefs","Raiders",1552,"Kansas City","GEHA Field at Arrowhead Stadium","MO","OUTDOOR","CBS",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"NaN",NULL
2023123107,2023,"REG",17,59421,"12/31/2023","13:00:00",NULL,"3410","2510","NYG","LA","New York Giants","Los Angeles Rams","Giants","Rams",3757,"East Rutherford","MetLife Stadium","NJ","OUTDOOR","FOX",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2023123114,2023,"REG",17,59428,"12/31/2023","20:20:00",NULL,"3000","1800","MIN","GB","Minnesota Vikings","Green Bay Packers","Vikings","Packers",1652,"Minneapolis","U.S. Bank Stadium","MN","INDOOR","NBC",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2023091008,2023,"REG",1,59182,"09/10/2023","16:25:00",NULL,"0810","1800","CHI","GB","Chicago Bears","Green Bay Packers","Bears","Packers",4620,"Chicago","Soldier Field","IL","OUTDOOR","FOX","00:00","FINAL","FINAL",38,7,3,14,14,0,0,20,3,3,8,6,0,0,NULL,"-0.5","40.5"
2023123108,2023,"REG",17,59422,"12/31/2023","13:00:00",NULL,"3700","3800","PHI","ARI","Philadelphia Eagles","Arizona Cardinals","Eagles","Cardinals",2769,"Philadelphia","Lincoln Financial Field","PA","OUTDOOR","FOX",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"NaN",NULL
NULL,2023,"REG",18,59436,NULL,NULL,NULL,"4400","2310","LAC","KC","Los Angeles Chargers","Kansas City Chiefs","Chargers","Chiefs",3005,"Inglewood","SoFi Stadium","CA","OUTDOOR",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,2023,"REG",18,59441,NULL,NULL,NULL,"3410","3700","NYG","PHI","New York Giants","Philadelphia Eagles","Giants","Eagles",3757,"East Rutherford","MetLife Stadium","NJ","OUTDOOR",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2023092410,2023,"REG",3,59216,"09/24/2023","16:25:00",NULL,"3800","1200","ARI","DAL","Arizona Cardinals","Dallas Cowboys","Cardinals","Cowboys",1907,"Glendale","State Farm Stadium","AZ","RETRACTABLE","FOX","00:00","FINAL","FINAL",16,3,7,3,3,0,0,28,9,12,0,7,0,3,NULL,"11.5","43.5"
2023091011,2023,"REG",1,59185,"09/10/2023","16:25:00",NULL,"3200","3700","NE","PHI","New England Patriots","Philadelphia Eagles","Patriots","Eagles",1065,"Foxborough","Gillette Stadium","MA","OUTDOOR","CBS","00:00","FINAL","FINAL",25,16,0,3,6,0,0,20,0,14,0,6,0,0,NULL,"3.5","43.5"
2023111210,2023,"REG",10,59320,"11/12/2023","16:25:00",NULL,"4600","5110","SEA","WAS","Seattle Seahawks","Washington Commanders","Seahawks","Commanders",5315,"Seattle","Lumen Field","WA","OUTDOOR","FOX",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"NaN",NULL
